"REF_DATE","GEO","DGUID","Area","Land cover and land use","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area/census agglomeration","Natural and semi-natural, water","Square kilometres","280","units ","0","v122596508","42.1.7","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area/census agglomeration","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v122596509","42.1.8","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Total land area","Square kilometres","280","units ","0","v122596510","42.2.1","3967","","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, settled","Square kilometres","280","units ","0","v122596511","42.2.2","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, roads","Square kilometres","280","units ","0","v122596512","42.2.3","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Arable","Square kilometres","280","units ","0","v122596513","42.2.4","855","","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596514","42.2.5","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, forest","Square kilometres","280","units ","0","v122596515","42.2.6","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, water","Square kilometres","280","units ","0","v122596516","42.2.7","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v122596517","42.2.8","","..","","","0"
"1971","Brooks (census agglomeration), Alberta","2011S0504806","Census metropolitan area/census agglomeration","Total land area","Square kilometres","280","units ","0","v122596534","43.1.1","5838","","","","0"
"1971","Brooks (census agglomeration), Alberta","2011S0504806","Census metropolitan area/census agglomeration","Built-up area, settled","Square kilometres","280","units ","0","v122596535","43.1.2","","..","","","0"
"1971","Brooks (census agglomeration), Alberta","2011S0504806","Census metropolitan area/census agglomeration","Built-up area, roads","Square kilometres","280","units ","0","v122596536","43.1.3","","..","","","0"
"1971","Brooks (census agglomeration), Alberta","2011S0504806","Census metropolitan area/census agglomeration","Arable","Square kilometres","280","units ","0","v122596537","43.1.4","","..","","","0"
"1971","Brooks (census agglomeration), Alberta","2011S0504806","Census metropolitan area/census agglomeration","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596538","43.1.5","","..","","","0"
